title,popularity,score,last_day_in_cinema
Parasite,61.3,8,2019-08-08
Warfare,436.2,7,2025-06-18
Thunderbolts*,417.3,7,2025-07-09
Last Bullet,360.9,7,2025-07-15
Tarzan,242.9,7,1999-08-27
Sinners,149.8,7,2025-06-25
Black Widow,140.0,7,2021-09-15
The Glenarma Tapes,120.7,7,2024-06-11
Conclave,112.7,7,2025-01-03
Moana 2,105.2,7,2025-01-30
Wonder Woman,98.5,7,2017-08-08
The Accountant,96.8,7,2016-12-12
Blade Runner 2049,89.6,7,2017-12-13
Mufasa: The Lion King,82.0,7,2025-02-26
Sonic the Hedgehog 3,76.2,7,2025-02-27
The Accountant²,74.8,7,2025-07-02
Exterritorial,505.2,6,2025-07-08
A Working Man,363.5,6,2025-06-04
Rust,302.2,6,2025-07-10
A Minecraft Movie,276.7,6,2025-06-09
Havoc,238.6,6,2025-07-03
Captain America: Brave New World,212.9,6,2025-04-23
Death of a Unicorn,198.8,6,2025-06-05
In the Lost Lands,186.6,6,2025-05-08
Jewel Thief: The Heist Begins,186.4,6,2025-07-04
Another Simple Favor,159.7,6,2025-05-16
Saint Catherine,148.1,6,2024-12-03
Van Gogh by Vincent,145.0,6,2025-06-04
Day of Reckoning,132.7,6,2025-06-06
Captain Marvel,120.3,6,2019-05-15
Bullet Train Explosion,102.3,6,2025-07-02
Drop,93.5,6,2025-06-19
Novocaine,86.0,6,2025-05-21
G20,82.1,6,2025-06-19
The Monkey,137.3,5,2025-04-25
Laila,104.3,5,2025-04-25
The Siege,90.6,5,2023-05-19
The Biggest Fan,86.5,4,2025-07-10
Swarm,60.6,4,2023-07-20
Desert Dawn,110.0,0,2025-07-24
